Papertag,Molecule1,Molecule2,Membrane,molp1,molp2,molpm,Temperature,WTp,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2RES303POPCE,SOR,POPE,POPC,20,33,66,303,50,0.226,0.219,0.213,0.207,0.199,0.191,0.178,0.165,0.152,0.138,0.123,0.107,0.089,0.068,0.022
2SPI303POPC,CHL,0,POPC,30,0,70,303,40,0.327,0.321,0.316,0.31,0.302,0.293,0.281,0.269,0.262,0.247,0.227,0.204,0.173,0.13,0.036
2SPI303POPC,SPI,0,POPC,10,0,90,303,40,0.243,0.237,0.233,0.228,0.22,0.213,0.207,0.196,0.183,0.168,0.152,0.133,0.115,0.088,0.025
2SPI303POPC,SPI,0,POPC,20,0,80,303,40,0.25,0.244,0.239,0.235,0.229,0.221,0.214,0.205,0.189,0.174,0.155,0.136,0.115,0.089,0.027
2TOC303MULTI,TOC,0,POPC,10,0,90,303,50,0.22591792656587475,0.21749460043196545,0.21263498920086393,0.20907127429805616,0.2045356371490281,0.1980561555075594,0.19060475161987042,0.18315334773218145,0.17084233261339093,0.15950323974082073,0.14395248380129588,0.12224622030237581,0.10183585313174945,0.07559395248380127,0.02213822894168463
2TOL303POPC,LAP,0,POPC,20,0,80,303,50,0.218,0.213,0.207,0.202,0.195,0.186,0.175,0.161,0.145,0.132,0.114,0.098,0.078,0.052,0.02
2TOL303POPC,TOF,0,POPC,20,0,80,303,50,0.211,0.206,0.201,0.196,0.188,0.181,0.172,0.158,0.145,0.132,0.116,0.1,0.08,0.056,0.022
2TRI303POPC,TRB,0,POPC,20,0,80,303,40,0.21465517241379312,0.20929535232383809,0.20476011994003,0.20063718140929537,0.19651424287856073,0.1903298350824588,0.18414542728635686,0.17631184407796105,0.16476761619190408,0.14910044977511247,0.1342578710644678,0.11611694152923543,0.09756371814092957,0.0736506746626687,0.020464767616191926
2TRI303POPC,TRC,0,POPC,20,0,80,303,40,0.1981634182908546,0.1936281859070465,0.1890929535232384,0.1857946026986507,0.1812593703148426,0.17589955022488757,0.16971514242878563,0.16023238380809596,0.14786356821589208,0.1342578710644678,0.12147676161919044,0.10539730134932537,0.08931784107946031,0.06870314842578715,0.020464767616191926
3AMI330POPC,0,0,POPC,0,0,100,330,NULL,0.1826939397025377,0.17702692872834136,0.17350335336136288,0.17033814878934683,0.166099771593174,0.16043276061897765,0.15548055147397571,0.14480895781505354,0.13378093312189943,0.11917889928277348,0.10600646910203629,0.09211826721173944,0.07465702605583605,0.052549573010169215,0.007210090635320188
3AMI330POPC,AMI,0,POPC,10,0,90,330,NULL,0.1962751744572307,0.18989239177347475,0.18565498445766715,0.1814166072614943,0.17682179903108952,0.17151315885185564,0.1644155743389053,0.1562457870821634,0.14628996513280088,0.13097312946448056,0.117085897454549,0.09962465629864559,0.08251887629660884,0.060770763926269705,0.014715509841861069
3AMI330POPC,AMI,0,POPC,15,0,85,330,NULL,0.2030657918345772,0.1966839790311865,0.19208820092041648,0.18892299634840043,0.1854003908617872,0.1811610437852491,0.17549403281105275,0.1683974181784677,0.15987023000712863,0.14777097245054824,0.1310245331238392,0.11427809379713016,0.09288447270029246,0.06755944154288573,0.01757568703900378
3DOX303POPC,0DX,0,POPC,25,0,75,303,40,0.2173,0.2129,0.209,0.2051,0.2002,0.1948,0.1885,0.1787,0.167,0.1509,0.1372,0.1221,0.1045,0.08545,0.02344
3DOX303POPC,5DX,0,POPC,25,0,75,303,40,0.2256,0.2168,0.2119,0.208,0.2041,0.1982,0.1924,0.1855,0.1768,0.1621,0.1484,0.1328,0.1123,0.08789,0.02148
3DOX303POPC,6DX,0,POPC,25,0,75,303,40,0.2324,0.2256,0.2217,0.2188,0.2139,0.209,0.2031,0.1963,0.1865,0.1699,0.1523,0.1328,0.1104,0.08398,0.02344
3MTT303POPCE,DDA,0,POPC,20,0,80,303,50,0.206,0.202,0.198,0.196,0.191,0.184,0.177,0.163,0.147,0.131,0.115,0.1,0.084,0.066,0.016
3MTT303POPCE,DDA,POPE,POPC,20,33,66,303,50,0.23,0.225,0.22,0.213,0.207,0.199,0.186,0.173,0.158,0.143,0.129,0.112,0.095,0.072,0.02
3MTT303POPCE,DDE,0,POPC,20,0,80,303,50,0.214,0.21,0.207,0.204,0.2,0.194,0.186,0.179,0.164,0.146,0.135,0.115,0.097,0.073,0.021
3MTT303POPCE,MTT,0,POPC,20,0,80,303,50,0.223,0.218,0.214,0.211,0.205,0.199,0.19,0.179,0.163,0.144,0.13,0.112,0.094,0.07,0.02
3MTT303POPCE,MTT,POPE,POPC,20,33,66,303,50,0.246,0.24,0.236,0.233,0.23,0.225,0.217,0.211,0.203,0.188,0.168,0.148,0.125,0.098,0.024
3MTT303POPCE,POPE,0,POPC,33,0,66,303,50,0.238,0.234,0.231,0.228,0.225,0.219,0.212,0.205,0.195,0.176,0.157,0.134,0.113,0.088,0.026
3NAT298POPC,ERG,0,POPC,20,0,80,298,50,0.275,0.269,0.264,0.259,0.251,0.243,0.236,0.226,0.212,0.195,0.173,0.152,0.127,0.096,0.03
3NAT298POPC,NAT,0,POPC,10,0,90,298,50,0.212,0.207,0.204,0.199,0.193,0.186,0.179,0.169,0.154,0.141,0.127,0.11,0.093,0.071,0.016
3NAT298POPC,NAT,CHL,POPC,10,20,80,298,50,0.268,0.262,0.256,0.25,0.243,0.235,0.227,0.215,0.201,0.186,0.166,0.146,0.126,0.098,0.029
3NAT298POPC,NAT,ERG,POPC,10,20,80,298,50,0.225,0.219,0.214,0.21,0.205,0.199,0.192,0.184,0.172,0.156,0.142,0.123,0.105,0.078,0.016
3NUC303POPC,CC1,0,POPC,20,0,80,303,40,0.2039,0.1984,0.1938,0.1898,0.1852,0.1797,0.1727,0.1625,0.1508,0.1359,0.1234,0.107,0.09141,0.07031,0.01875
3NUC303POPC,WF1,0,POPC,20,0,80,303,40,0.1953,0.1898,0.1852,0.1797,0.175,0.1672,0.1547,0.1422,0.1297,0.1156,0.1039,0.08828,0.07578,0.05781,0.01719
3NUC303POPC,WF9,0,POPC,20,0,80,303,40,0.2078,0.2039,0.1992,0.1961,0.1922,0.1859,0.1797,0.1711,0.1594,0.1453,0.132,0.1141,0.09688,0.07266,0.02031
3SER310POPC,0,0,POPC,0,0,100,310,50,0.204,0.198,0.191,0.186,0.181,0.175,0.166,0.156,0.144,0.131,0.116,0.102,0.082,0.062,0.0235
3SER310POPC,SER,0,POPC,10,0,100,310,50,0.2,0.194,0.188,0.181,0.175,0.166,0.159,0.148,0.132,0.113,0.1,0.085,0.068,0.045,0.029
3SER310POPC,SER,0,POPC,10,0,200,310,50,0.204,0.198,0.192,0.187,0.182,0.177,0.17,0.16,0.144,0.13,0.117,0.101,0.083,0.063,0.027
3SER310POPC,SER,0,POPC,25,0,75,310,50,0.179,0.173,0.168,0.162,0.158,0.154,0.15,0.142,0.134,0.121,0.109,0.095,0.078,0.057,0.023
4CHL303POPC,CHA,0,POPC,20,0,80,303,NULL,0.24776295133437987,0.24310047095761378,0.23999215070643642,0.23532967032967034,0.23118524332810048,0.22652276295133436,0.22030612244897957,0.21357142857142858,0.20528257456828886,0.1949215070643642,0.1804160125588697,0.156585557299843,0.1312009419152276,0.09597331240188384,0.028108320251177432
4CHL303POPC,DOX,0,POPC,20,0,80,303,NULL,0.2596781789638932,0.25553375196232336,0.2513893249607535,0.24776295133437987,0.24361852433281003,0.23584772370486656,0.2285949764521193,0.22186028257456827,0.2140894819466248,0.19595761381475665,0.17782574568288853,0.15399529042386187,0.127574568288854,0.09597331240188384,0.027590266875981206
4CHL303POPC,TOP,0,POPC,20,0,80,303,NULL,0.21460753532182103,0.20942700156985872,0.20424646781789638,0.201138147566719,0.19647566718995288,0.19129513343799057,0.18507849293563577,0.17886185243328098,0.1705729984301413,0.15606750392464677,0.1420800627943485,0.127574568288854,0.11047880690737835,0.09338304552590268,0.01981946624803771
4DLACHL303POPC,CHL,0,POPC,15,0,85,303,40,0.2609,0.2555,0.2508,0.2453,0.2398,0.2328,0.2266,0.2195,0.2078,0.1914,0.1727,0.1508,0.1281,0.09688,0.02656
4DLACHL303POPC,CHL,0,POPC,5,0,95,303,40,0.2297,0.2242,0.2195,0.2164,0.2133,0.2086,0.2016,0.1945,0.1867,0.1664,0.1516,0.1297,0.1086,0.08125,0.02344
4DLACHL303POPC,DHC,0,POPC,20,0,80,303,40,0.296,0.289,0.284,0.279,0.273,0.266,0.258,0.249,0.239,0.227,0.209,0.182,0.153,0.113,0.031
4DLACHL303POPC,DSM,0,POPC,10,0,90,303,40,0.2406,0.2352,0.232,0.2273,0.2234,0.2164,0.2094,0.2031,0.1914,0.1742,0.1586,0.1359,0.1141,0.08516,0.025
4DLACHL303POPC,DSM,0,POPC,15,0,85,303,40,0.2586,0.2523,0.2477,0.243,0.2383,0.232,0.225,0.2172,0.2086,0.1914,0.1727,0.1492,0.1242,0.09219,0.02813
4DLACHL303POPC,DSM,0,POPC,20,0,80,303,40,0.2695,0.2648,0.2602,0.2563,0.25,0.243,0.2352,0.2281,0.218,0.2023,0.1852,0.1602,0.1336,0.09844,0.02656
4DLACHL303POPC,DSM,0,POPC,5,0,95,303,40,0.2289,0.2227,0.2188,0.2148,0.2117,0.2055,0.1984,0.1914,0.1828,0.1648,0.15,0.1289,0.1078,0.08047,0.02344
4DLACHL303POPC,LAN,0,POPC,10,0,90,303,40,0.2313,0.2273,0.2234,0.2195,0.2156,0.2086,0.2016,0.1953,0.1836,0.1664,0.1508,0.1313,0.1102,0.08281,0.02344
4DLACHL303POPC,LAN,0,POPC,15,0,85,303,40,0.2523,0.2461,0.2414,0.2367,0.232,0.2266,0.2188,0.2125,0.2031,0.1859,0.1688,0.1453,0.1211,0.09063,0.025
4DLACHL303POPC,LAN,0,POPC,20,0,80,303,40,0.2641,0.2602,0.2555,0.2516,0.2453,0.2391,0.2328,0.2266,0.2172,0.2016,0.1836,0.1602,0.1336,0.1,0.02813
4DLACHL303POPC,LAN,0,POPC,5,0,95,303,40,0.2203,0.2156,0.2117,0.2086,0.2055,0.1992,0.1922,0.1852,0.175,0.1578,0.1422,0.1227,0.1031,0.07813,0.02188
4HXC303POPC,24R,0,POPC,20,0,80,303,40,0.213,0.207,0.203,0.199,0.194,0.186,0.179,0.169,0.154,0.142,0.129,0.113,0.095,0.073,0.022
4HXC303POPC,24S,0,POPC,20,0,80,303,40,0.212,0.208,0.205,0.201,0.197,0.19,0.183,0.175,0.162,0.146,0.132,0.114,0.097,0.073,0.021
4HXC303POPC,27H,0,POPC,20,0,80,303,40,0.211,0.206,0.202,0.197,0.19,0.182,0.175,0.163,0.148,0.136,0.119,0.104,0.086,0.07,0.021
4HXC303POPC,CHL,0,POPC,10,0,90,303,40,0.254,0.247,0.242,0.237,0.232,0.225,0.218,0.211,0.199,0.182,0.164,0.145,0.122,0.092,0.027
4HXC303POPC,CHL,0,POPC,20,0,80,303,40,0.286,0.281,0.276,0.271,0.264,0.257,0.248,0.24,0.23,0.216,0.201,0.175,0.147,0.109,0.03
4INDOL298POPC,3MI,0,POPC,54,0,100,298,NULL,0.23071530346559235,0.22328101141273826,0.22029160729784042,0.21063556745768372,0.20542395143436626,0.19910076533572196,0.18055587786188682,0.16682624697741116,0.15420725792602832,0.13529153767967284,0.12230217997688672,0.10746144313820127,0.08965682884605561,0.07037120406941388,0.018863042499570604
4INDOL298POPC,IDO,0,POPC,57,0,100,298,NULL,0.22627087964875311,0.21920695624730227,0.20246100222314012,0.21026519880628047,0.2154768148295979,0.19465634151888273,0.18426002849703654,0.17015910071892354,0.15828131309146432,0.13936559284510883,0.12674660379372596,0.11153503418252023,0.09336051536008833,0.0711119413722204,0.019233411150973934
4INDOL298POPC,IND,0,POPC,71,0,100,298,NULL,0.22997456616278583,0.22513285466975458,0.21992123864643714,0.21396888532031316,0.20801653199418918,0.20206371454694813,0.18981509414696857,0.17608499914137588,0.161984999605497,0.14492112261615786,0.13007992165635537,0.1144979833937464,0.0963234645713145,0.07333415328064005,0.019603779802377153
4INDOL298POPC,NMI,0,POPC,89,0,100,298,NULL,0.23775184372113745,0.23105875309220691,0.22695824302309928,0.22211699565118512,0.21394196629552445,0.2076192443179972,0.19759283582643722,0.1808997916096184,0.16716969660402575,0.14788407182738403,0.13341323951898482,0.11412761474234312,0.09595309591991119,0.07296332050811974,0.019233411150973934
5BXR303POPC,BXR,0,POPC,10,0,90,303,40,0.212,0.208,0.205,0.202,0.198,0.194,0.185,0.179,0.169,0.148,0.134,0.114,0.095,0.071,0.02
5BXR303POPC,BXR,0,POPC,20,0,80,303,40,0.211,0.205,0.202,0.198,0.192,0.185,0.179,0.17,0.157,0.142,0.129,0.112,0.095,0.071,0.02
5BXR303POPC,BXR,POPG,POPC,33,33,33,303,40,0.211,0.206,0.202,0.199,0.194,0.187,0.18,0.172,0.159,0.142,0.127,0.11,0.093,0.071,0.02
5BXR303POPC,CHL,POPG,POPC,33,33,33,303,40,0.329,0.323,0.319,0.314,0.307,0.3,0.29,0.275,0.266,0.255,0.239,0.207,0.173,0.129,0.036
5BXR303POPC,POPG,0,POPC,50,0,50,303,40,0.213,0.209,0.206,0.204,0.2,0.193,0.186,0.179,0.164,0.148,0.131,0.114,0.099,0.074,0.022
5FFAmultPOPC,FFA,0,POPC,8,0,92,298,NULL,0.22227722772277225,0.2171287128712871,0.21396039603960396,0.21118811881188118,0.20841584158415838,0.20485148514851484,0.1981188118811881,0.1905940594059406,0.18465346534653465,0.17277227722772276,0.15376237623762376,0.13435643564356436,0.11178217821782177,0.08683168316831683,0.040495049504950476
5FFAmultPOPC,FFA,0,POPC,8,0,92,310,NULL,0.19970297029702969,0.19534653465346533,0.19178217821782179,0.189009900990099,0.18584158415841584,0.18227722772277227,0.17633663366336633,0.1688118811881188,0.16128712871287126,0.14742574257425742,0.12920792079207918,0.11138613861386137,0.09316831683168317,0.07217821782178219,0.024653465346534675
5FFAmultPOPC,FFA,0,POPC,8,0,92,323,NULL,0.18702970297029703,0.18267326732673267,0.1795049504950495,0.17594059405940593,0.17277227722772276,0.1688118811881188,0.16366336633663367,0.1581188118811881,0.14663366336633663,0.13712871287128714,0.11851485148514851,0.10306930693069305,0.08564356435643564,0.06386138613861383,0.021089108910891108
5FFAmultPOPC,FFA,0,POPC,8,0,92,333,NULL,0.17237623762376236,0.168019801980198,0.16485148514851483,0.16128712871287126,0.1581188118811881,0.15455445544554455,0.1501980198019802,0.14584158415841583,0.13673267326732672,0.12366336633663363,0.10821782178217823,0.09594059405940594,0.0793069306930693,0.06504950495049505,0.013564356435643576
5FFAmultPOPC,FFA,0,POPC,8,0,92,343,NULL,0.16168316831683166,0.15693069306930693,0.15376237623762376,0.15099009900990099,0.14742574257425742,0.14465346534653464,0.14069306930693068,0.13633663366336632,0.12762376237623763,0.11455445544554455,0.10267326732673268,0.08801980198019801,0.07297029702970295,0.05871287128712871,0.010792079207920802
5PSM313POPC,0,0,POPC,0,0,100,313,40,0.19937163375224426,0.19362657091561947,0.19003590664272896,0.1864452423698385,0.18141831238779182,0.17710951526032326,0.1699281867145423,0.16202872531418316,0.15053859964093363,0.1333034111310593,0.12037701974865356,0.10314183123877924,0.08590664272890486,0.06364452423698386,0.01768402154398563
5PSM313POPC,CHL,0,POPC,37,0,13,313,40,0.2668761220825853,0.2611310592459606,0.2561041292639139,0.25107719928186717,0.24461400359066432,0.2374326750448834,0.22737881508079005,0.22091561938958715,0.20655296229802517,0.1893177737881509,0.1706463195691204,0.1491023339317774,0.1268402154398564,0.09452423698384205,0.02558348294434476
5PSM313POPC,CHL,0,POPC,37,0,25,313,40,0.345870736086176,0.33868940754039506,0.33438061041292644,0.32863554757630165,0.3200179533213645,0.31283662477558355,0.3035008976660683,0.28554757630161587,0.2769299820466787,0.2640035906642729,0.24964093357271105,0.21732495511669664,0.17998204667863565,0.1333034111310593,0.02558348294434476
5PSM313POPC,PSM,0,POPC,50,0,50,313,40,0.20511669658886905,0.20008976660682232,0.19649910233393186,0.1929084380610414,0.1893177737881509,0.18213644524236994,0.17495511669658892,0.16849192100538607,0.1584380610412927,0.1412028725314184,0.12612208258527835,0.10673249551166974,0.08877917414721725,0.06651705565529625,0.021274685816876193
5PSM313POPC,PSM,CHL,POPC,37,25,37,313,40,0.30996409335727115,0.301346499102334,0.29631956912028734,0.2891382405745063,0.28267504488330353,0.2762118491921006,0.2668761220825853,0.256822262118492,0.24676840215439866,0.23527827648114907,0.2144524236983843,0.182854578096948,0.14982046678635552,0.1103231597845602,0.029892280071813382
6INH303POPC,CER,0,POPC,20,0,80,303,50,0.225,0.2199,0.2152,0.2094,0.2035,0.1973,0.182,0.1691,0.1539,0.1359,0.1219,0.1039,0.08594,0.05039,0.01875
6INH303POPC,ERL,0,POPC,20,0,80,303,50,0.2104,0.2061,0.2029,0.2,0.1968,0.1921,0.1836,0.1772,0.167,0.1477,0.1333,0.1133,0.09497,0.07031,0.02051
6INH303POPC,IDE,0,POPC,20,0,80,303,50,0.2043,0.2004,0.1953,0.1891,0.1836,0.1754,0.1602,0.1484,0.1313,0.1199,0.1063,0.09063,0.07344,0.04688,0.01875
6INH303POPC,IMA,0,POPC,20,0,80,303,50,0.1984,0.1922,0.1859,0.1797,0.1711,0.1609,0.1508,0.1371,0.125,0.1133,0.09961,0.08594,0.06953,0.04766,0.01875
6INH303POPC,LEN,0,POPC,20,0,80,303,50,0.2097,0.2039,0.1997,0.1956,0.1904,0.1841,0.177,0.1682,0.1543,0.1384,0.1238,0.105,0.08374,0.05298,0.02002
6INH303POPC,SUN,0,POPC,20,0,80,303,50,0.2082,0.1984,0.1926,0.1852,0.1777,0.1652,0.1512,0.1367,0.1223,0.1109,0.09531,0.08203,0.06445,0.04492,0.01875
6ION298POPC,0,0,POPC,0,0,100,298,50,0.219,0.213,0.209,0.206,0.202,0.196,0.189,0.182,0.172,0.155,0.141,0.122,0.103,0.077,0.023
6ION298POPC,AMM,0,POPC,50,0,50,298,50,0.1904,0.1851,0.1812,0.1775,0.1714,0.1663,0.1538,0.1382,0.1226,0.1067,0.09717,0.07959,0.06836,0.05151,0.01709
6ION298POPC,BNZ,0,POPC,50,0,50,298,50,0.1724,0.167,0.1636,0.1594,0.1528,0.1458,0.1335,0.1216,0.1086,0.09546,0.08545,0.07227,0.06226,0.04785,0.01416
6ION298POPC,MIM,0,POPC,50,0,50,298,50,0.1865,0.1802,0.1768,0.1729,0.167,0.1614,0.1489,0.1335,0.1187,0.1033,0.0896,0.07715,0.06665,0.05078,0.01611
6ION298POPC,MPH,0,POPC,50,0,50,298,50,0.181,0.1785,0.176,0.174,0.1655,0.1615,0.1595,0.1397,0.12845,0.1083,0.0955,0.0784,0.06645,0.0492,0.01575
6ION298POPC,PIP,0,POPC,50,0,50,298,50,0.1638,0.1597,0.157,0.1536,0.1489,0.145,0.1387,0.1216,0.1074,0.09351,0.08179,0.0708,0.06079,0.04541,0.01416
6ION298POPC,PYR,0,POPC,50,0,50,298,50,0.205,0.179,0.174,0.172,0.1668,0.159,0.159,0.1385,0.1303,0.1105,0.0988,0.081,0.07,0.0527,0.0175
6STA303POPC,ATV,0,POPC,20,0,80,303,50,0.202,0.196,0.192,0.186,0.181,0.176,0.164,0.151,0.138,0.121,0.109,0.093,0.079,0.059,0.017
6STA303POPC,CVS,0,POPC,20,0,80,303,50,0.2,0.195,0.191,0.186,0.18,0.174,0.162,0.151,0.138,0.121,0.108,0.093,0.079,0.059,0.017
6STA303POPC,FVS,0,POPC,20,0,80,303,50,0.202,0.196,0.19,0.183,0.177,0.165,0.151,0.14,0.124,0.111,0.099,0.086,0.073,0.058,0.017
6STA303POPC,LVA,0,POPC,20,0,80,303,50,0.219,0.214,0.211,0.207,0.201,0.195,0.189,0.172,0.158,0.138,0.123,0.104,0.088,0.066,0.019
6STA303POPC,PVS,0,POPC,20,0,80,303,50,0.176,0.171,0.166,0.159,0.151,0.139,0.126,0.116,0.103,0.094,0.083,0.072,0.061,0.048,0.016
6STA303POPC,RVS,0,POPC,20,0,80,303,50,0.2,0.195,0.189,0.183,0.177,0.17,0.155,0.144,0.13,0.117,0.107,0.092,0.078,0.059,0.017
6TDO283POPC,0,0,POPC,0,0,100,283,50,0.242,0.238,0.233,0.229,0.222,0.215,0.209,0.199,0.186,0.171,0.156,0.136,0.121,0.093,0.013
6TDO283POPC,DPH,0,POPC,20,0,100,283,50,0.242,0.237,0.232,0.228,0.222,0.216,0.21,0.201,0.188,0.175,0.155,0.139,0.118,0.094,0.016
6TDO283POPC,DPH,0,POPC,20,0,100,310,50,0.205,0.2,0.195,0.191,0.186,0.18,0.172,0.161,0.147,0.132,0.119,0.103,0.088,0.066,0.015
6TDO283POPC,ODP,0,POPC,20,0,100,283,50,0.255,0.25,0.244,0.24,0.235,0.229,0.222,0.215,0.204,0.19,0.171,0.148,0.127,0.1,0.015
6TDO283POPC,ODP,0,POPC,20,0,100,310,50,0.207,0.203,0.199,0.196,0.192,0.187,0.18,0.171,0.157,0.139,0.123,0.105,0.089,0.068,0.014
6TDO283POPC,TPA,0,POPC,20,0,100,283,50,0.243,0.239,0.234,0.229,0.223,0.216,0.207,0.192,0.175,0.162,0.145,0.125,0.106,0.086,0.01
6TDO283POPC,TPA,0,POPC,20,0,100,310,50,0.211,0.205,0.2,0.195,0.19,0.184,0.176,0.165,0.15,0.136,0.121,0.105,0.089,0.067,0.014
