Papertag,Molecule1,Molecule2,Membrane,molp1,molp2,molpm,Temperature,WTp,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3DOX303POPC,0DX,0,POPC,25,0,75,303,40,0.2173,0.2129,0.209,0.2051,0.2002,0.1948,0.1885,0.1787,0.167,0.1509,0.1372,0.1221,0.1045,0.08545,0.02344
3DOX303POPC,0,0,POPC,0,0,100,303,40,0.2158,0.209,0.2041,0.2002,0.1963,0.1914,0.1836,0.1768,0.166,0.1494,0.1357,0.1182,0.09961,0.0752,0.02148
3DOX303POPC,5DX,0,POPC,25,0,75,303,40,0.2256,0.2168,0.2119,0.208,0.2041,0.1982,0.1924,0.1855,0.1768,0.1621,0.1484,0.1328,0.1123,0.08789,0.02148
3DOX303POPC,6DX,0,POPC,25,0,75,303,40,0.2324,0.2256,0.2217,0.2188,0.2139,0.209,0.2031,0.1963,0.1865,0.1699,0.1523,0.1328,0.1104,0.08398,0.02344
3MTT303POPCE,0,0,POPC,0,0,100,303,50,0.211,0.205,0.202,0.199,0.195,0.188,0.18,0.173,0.163,0.146,0.135,0.116,0.098,0.074,0.021
3MTT303POPCE,DDA,0,POPC,20,0,80,303,50,0.206,0.202,0.198,0.196,0.191,0.184,0.177,0.163,0.147,0.131,0.115,0.1,0.084,0.066,0.016
3MTT303POPCE,DDA,POPE,POPC,20,33,66,303,50,0.23,0.225,0.22,0.213,0.207,0.199,0.186,0.173,0.158,0.143,0.129,0.112,0.095,0.072,0.02
3MTT303POPCE,DDE,0,POPC,20,0,80,303,50,0.214,0.21,0.207,0.204,0.2,0.194,0.186,0.179,0.164,0.146,0.135,0.115,0.097,0.073,0.021
3MTT303POPCE,MTT,0,POPC,20,0,80,303,50,0.223,0.218,0.214,0.211,0.205,0.199,0.19,0.179,0.163,0.144,0.13,0.112,0.094,0.07,0.02
3MTT303POPCE,MTT,POPE,POPC,20,33,66,303,50,0.246,0.24,0.236,0.233,0.23,0.225,0.217,0.211,0.203,0.188,0.168,0.148,0.125,0.098,0.024
3MTT303POPCE,POPE,0,POPC,33,0,66,303,50,0.238,0.234,0.231,0.228,0.225,0.219,0.212,0.205,0.195,0.176,0.157,0.134,0.113,0.088,0.026
3NUC303POPC,0,0,POPC,0,0,100,303,40,0.2086,0.2039,0.2008,0.1977,0.1945,0.1883,0.1813,0.1742,0.1641,0.1477,0.1344,0.1148,0.09609,0.07266,0.02031
3NUC303POPC,CC1,0,POPC,20,0,80,303,40,0.2039,0.1984,0.1938,0.1898,0.1852,0.1797,0.1727,0.1625,0.1508,0.1359,0.1234,0.107,0.09141,0.07031,0.01875
3NUC303POPC,WF1,0,POPC,20,0,80,303,40,0.1953,0.1898,0.1852,0.1797,0.175,0.1672,0.1547,0.1422,0.1297,0.1156,0.1039,0.08828,0.07578,0.05781,0.01719
3NUC303POPC,WF9,0,POPC,20,0,80,303,40,0.2078,0.2039,0.1992,0.1961,0.1922,0.1859,0.1797,0.1711,0.1594,0.1453,0.132,0.1141,0.09688,0.07266,0.02031
3SER310POPC,0,0,POPC,0,0,100,310,50,0.204,0.198,0.191,0.186,0.181,0.175,0.166,0.156,0.144,0.131,0.116,0.102,0.082,0.062,0.0235
3SER310POPC,SER,0,POPC,10,0,100,310,50,0.2,0.194,0.188,0.181,0.175,0.166,0.159,0.148,0.132,0.113,0.1,0.085,0.068,0.045,0.029
3SER310POPC,SER,0,POPC,10,0,200,310,50,0.204,0.198,0.192,0.187,0.182,0.177,0.17,0.16,0.144,0.13,0.117,0.101,0.083,0.063,0.027
3SER310POPC,SER,0,POPC,25,0,75,310,50,0.179,0.173,0.168,0.162,0.158,0.154,0.15,0.142,0.134,0.121,0.109,0.095,0.078,0.057,0.023
4DLACHL303POPC,0,0,POPC,0,0,100,303,40,0.2086,0.2039,0.2008,0.1977,0.1945,0.1883,0.1813,0.1742,0.1641,0.1477,0.1344,0.1148,0.09609,0.07266,0.02031
4DLACHL303POPC,CHL,0,POPC,10,0,90,303,40,0.2406,0.2367,0.2336,0.2289,0.225,0.218,0.2109,0.2047,0.1914,0.1742,0.1586,0.1375,0.1164,0.0875,0.025
4DLACHL303POPC,CHL,0,POPC,15,0,85,303,40,0.2609,0.2555,0.2508,0.2453,0.2398,0.2328,0.2266,0.2195,0.2078,0.1914,0.1727,0.1508,0.1281,0.09688,0.02656
4DLACHL303POPC,CHL,0,POPC,20,0,80,303,40,0.2688,0.2633,0.2602,0.2555,0.2516,0.2438,0.2367,0.2297,0.2211,0.2023,0.1836,0.157,0.132,0.09844,0.02813
4DLACHL303POPC,CHL,0,POPC,5,0,95,303,40,0.2297,0.2242,0.2195,0.2164,0.2133,0.2086,0.2016,0.1945,0.1867,0.1664,0.1516,0.1297,0.1086,0.08125,0.02344
4DLACHL303POPC,DHC,0,POPC,20,0,80,303,40,0.296,0.289,0.284,0.279,0.273,0.266,0.258,0.249,0.239,0.227,0.209,0.182,0.153,0.113,0.031
4DLACHL303POPC,DSM,0,POPC,10,0,90,303,40,0.2406,0.2352,0.232,0.2273,0.2234,0.2164,0.2094,0.2031,0.1914,0.1742,0.1586,0.1359,0.1141,0.08516,0.025
4DLACHL303POPC,DSM,0,POPC,15,0,85,303,40,0.2586,0.2523,0.2477,0.243,0.2383,0.232,0.225,0.2172,0.2086,0.1914,0.1727,0.1492,0.1242,0.09219,0.02813
4DLACHL303POPC,DSM,0,POPC,20,0,80,303,40,0.2695,0.2648,0.2602,0.2563,0.25,0.243,0.2352,0.2281,0.218,0.2023,0.1852,0.1602,0.1336,0.09844,0.02656
4DLACHL303POPC,DSM,0,POPC,5,0,95,303,40,0.2289,0.2227,0.2188,0.2148,0.2117,0.2055,0.1984,0.1914,0.1828,0.1648,0.15,0.1289,0.1078,0.08047,0.02344
4DLACHL303POPC,LAN,0,POPC,10,0,90,303,40,0.2313,0.2273,0.2234,0.2195,0.2156,0.2086,0.2016,0.1953,0.1836,0.1664,0.1508,0.1313,0.1102,0.08281,0.02344
4DLACHL303POPC,LAN,0,POPC,15,0,85,303,40,0.2523,0.2461,0.2414,0.2367,0.232,0.2266,0.2188,0.2125,0.2031,0.1859,0.1688,0.1453,0.1211,0.09063,0.025
4DLACHL303POPC,LAN,0,POPC,20,0,80,303,40,0.2641,0.2602,0.2555,0.2516,0.2453,0.2391,0.2328,0.2266,0.2172,0.2016,0.1836,0.1602,0.1336,0.1,0.02813
4DLACHL303POPC,LAN,0,POPC,5,0,95,303,40,0.2203,0.2156,0.2117,0.2086,0.2055,0.1992,0.1922,0.1852,0.175,0.1578,0.1422,0.1227,0.1031,0.07813,0.02188
4HXC303POPC,0,0,POPC,0,0,100,303,40,0.216,0.211,0.208,0.204,0.201,0.194,0.186,0.178,0.164,0.148,0.136,0.117,0.098,0.073,0.022
4HXC303POPC,24R,0,POPC,20,0,80,303,40,0.213,0.207,0.203,0.199,0.194,0.186,0.179,0.169,0.154,0.142,0.129,0.113,0.095,0.073,0.022
4HXC303POPC,24S,0,POPC,20,0,80,303,40,0.212,0.208,0.205,0.201,0.197,0.19,0.183,0.175,0.162,0.146,0.132,0.114,0.097,0.073,0.021
4HXC303POPC,27H,0,POPC,20,0,80,303,40,0.211,0.206,0.202,0.197,0.19,0.182,0.175,0.163,0.148,0.136,0.119,0.104,0.086,0.07,0.021
4HXC303POPC,CHL,0,POPC,10,0,90,303,40,0.254,0.247,0.242,0.237,0.232,0.225,0.218,0.211,0.199,0.182,0.164,0.145,0.122,0.092,0.027
4HXC303POPC,CHL,0,POPC,20,0,80,303,40,0.286,0.281,0.276,0.271,0.264,0.257,0.248,0.24,0.23,0.216,0.201,0.175,0.147,0.109,0.03
4INDOL298POPC,0,0,POPC,0,0,100,298,NULL,0.2229375617861237,0.21698474433888265,0.21251386561837174,0.2098948301548772,0.20579432008576953,0.2013229772441416,0.19462988661521108,0.18793726010739759,0.17902195757004744,0.16195808058070832,0.14415439453079673,0.13005393087380077,0.1089164628401427,0.08296373821712508,0.022937097665006623
4INDOL298POPC,3MI,0,POPC,54,0,100,298,NULL,0.23071530346559235,0.22328101141273826,0.22029160729784042,0.21063556745768372,0.20542395143436626,0.19910076533572196,0.18055587786188682,0.16682624697741116,0.15420725792602832,0.13529153767967284,0.12230217997688672,0.10746144313820127,0.08965682884605561,0.07037120406941388,0.018863042499570604
4INDOL298POPC,IDO,0,POPC,57,0,100,298,NULL,0.22627087964875311,0.21920695624730227,0.20246100222314012,0.21026519880628047,0.2154768148295979,0.19465634151888273,0.18426002849703654,0.17015910071892354,0.15828131309146432,0.13936559284510883,0.12674660379372596,0.11153503418252023,0.09336051536008833,0.0711119413722204,0.019233411150973934
4INDOL298POPC,IND,0,POPC,71,0,100,298,NULL,0.22997456616278583,0.22513285466975458,0.21992123864643714,0.21396888532031316,0.20801653199418918,0.20206371454694813,0.18981509414696857,0.17608499914137588,0.161984999605497,0.14492112261615786,0.13007992165635537,0.1144979833937464,0.0963234645713145,0.07333415328064005,0.019603779802377153
